"","OBJECTID_1","COUNT","AREA","MEAN","SUM","cov","Species","SiteTransect","Site","Transect"
"52",23,109,8.410493827e-06,1078.31192660551,NA,"Elevation","Avahi_laniger","Antanambe_3","Antanambe",3
"53",24,67,5.169753086e-06,1074.13432835821,NA,"Elevation","Avahi_laniger","Androfiabe_2","Androfiabe",2
"54",25,75,5.787037037e-06,1152.85333333333,NA,"Elevation","Avahi_laniger","Ambodihasina_2","Ambodihasina",2
"55",26,81,6.25e-06,1384.79012345679,NA,"Elevation","Avahi_laniger","Antanambe_1","Antanambe",1
"56",27,124,9.567901235e-06,1076.75806451613,NA,"Elevation","Avahi_laniger","Ambavala_1","Ambavala",1
"57",28,121,9.336419753e-06,1137.71900826446,NA,"Elevation","Avahi_laniger","Ambavala_2","Ambavala",2
"58",29,110,8.487654321e-06,1102.63636363636,NA,"Elevation","Avahi_laniger","Ambavala_3","Ambavala",3
"59",1,201,1.5509259259e-05,1158.61194029851,NA,"Elevation","Cheirogaleus_crossleyi","Ambodivoara_1","Ambodivoara",1
"60",2,167,1.2885802469e-05,1194.62275449102,NA,"Elevation","Cheirogaleus_crossleyi","Ambodihasina_1","Ambodihasina",1
"61",3,154,1.1882716049e-05,1079.96753246753,NA,"Elevation","Cheirogaleus_crossleyi","Ambodimandresy_2","Ambodimandresy",2
"62",4,204,1.5740740741e-05,1180.33333333333,NA,"Elevation","Cheirogaleus_crossleyi","Ambodivoara_3","Ambodivoara",3
"63",5,122,9.413580247e-06,1083.2868852459,NA,"Elevation","Cheirogaleus_crossleyi","Ambodivoara_2","Ambodivoara",2
"64",6,223,1.7206790123e-05,1162.43946188341,NA,"Elevation","Cheirogaleus_crossleyi","Androfiabe_1","Androfiabe",1
"65",7,151,1.1651234568e-05,1190.80794701987,NA,"Elevation","Cheirogaleus_crossleyi","Ambodimandresy_3","Ambodimandresy",3
"66",8,144,1.1111111111e-05,1236.54861111111,NA,"Elevation","Cheirogaleus_crossleyi","Ambodihasina_3","Ambodihasina",3
"67",9,160,1.2345679012e-05,976.73125,NA,"Elevation","Cheirogaleus_crossleyi","Befamatra_1","Befamatra",1
"68",10,144,1.1111111111e-05,1112.63888888889,NA,"Elevation","Cheirogaleus_crossleyi","Befamatra_3","Befamatra",3
"69",11,155,1.1959876543e-05,1188.92903225806,NA,"Elevation","Cheirogaleus_crossleyi","Androfiabe_3","Androfiabe",3
"70",12,178,1.3734567901e-05,1089.74157303371,NA,"Elevation","Cheirogaleus_crossleyi","Betaolana_3","Betaolana",3
"71",13,191,1.4737654321e-05,1126.79581151833,NA,"Elevation","Cheirogaleus_crossleyi","Ambodivoara_5","Ambodivoara",5
"72",14,164,1.2654320988e-05,1121.60365853659,NA,"Elevation","Cheirogaleus_crossleyi","Betaolana_2","Betaolana",2
"73",15,224,1.7283950617e-05,1164.5,NA,"Elevation","Cheirogaleus_crossleyi","Betaolana_1","Betaolana",1
"74",16,170,1.3117283951e-05,1112.77058823529,NA,"Elevation","Cheirogaleus_crossleyi","Ambodivoara_4","Ambodivoara",4
"75",17,129,9.953703704e-06,1262.87596899225,NA,"Elevation","Cheirogaleus_crossleyi","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"76",18,159,1.2268518519e-05,1154.93710691824,NA,"Elevation","Cheirogaleus_crossleyi","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"77",19,179,1.3811728395e-05,1070.35754189944,NA,"Elevation","Cheirogaleus_crossleyi","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"78",20,161,1.2422839506e-05,1097,NA,"Elevation","Cheirogaleus_crossleyi","Befamatra_2","Befamatra",2
"79",21,222,1.712962963e-05,1063.42792792793,NA,"Elevation","Cheirogaleus_crossleyi","Ambodimandresy_1","Ambodimandresy",1
"80",22,247,1.9058641975e-05,1172.84615384615,NA,"Elevation","Cheirogaleus_crossleyi","Antanambe_2","Antanambe",2
"81",23,181,1.3966049383e-05,1077.64640883978,NA,"Elevation","Cheirogaleus_crossleyi","Antanambe_3","Antanambe",3
"82",24,145,1.1188271605e-05,1072.98620689655,NA,"Elevation","Cheirogaleus_crossleyi","Androfiabe_2","Androfiabe",2
"83",25,168,1.2962962963e-05,1149.46428571429,NA,"Elevation","Cheirogaleus_crossleyi","Ambodihasina_2","Ambodihasina",2
"84",26,136,1.049382716e-05,1389.33823529412,NA,"Elevation","Cheirogaleus_crossleyi","Antanambe_1","Antanambe",1
"85",27,221,1.7052469136e-05,1074.9592760181,NA,"Elevation","Cheirogaleus_crossleyi","Ambavala_1","Ambavala",1
"86",28,195,1.5046296296e-05,1138.15384615385,NA,"Elevation","Cheirogaleus_crossleyi","Ambavala_2","Ambavala",2
"87",29,232,1.7901234568e-05,1112.16379310345,NA,"Elevation","Cheirogaleus_crossleyi","Ambavala_3","Ambavala",3
"88",1,560,4.3209876543e-05,1151.87321428571,NA,"Elevation","Eulemur_albifrons","Ambodivoara_1","Ambodivoara",1
"89",2,473,3.649691358e-05,1189.23467230444,NA,"Elevation","Eulemur_albifrons","Ambodihasina_1","Ambodihasina",1
"90",3,478,3.6882716049e-05,1083.46234309623,NA,"Elevation","Eulemur_albifrons","Ambodimandresy_2","Ambodimandresy",2
"91",4,517,3.9891975309e-05,1176.3829787234,NA,"Elevation","Eulemur_albifrons","Ambodivoara_3","Ambodivoara",3
"92",5,366,2.8240740741e-05,1086.41803278689,NA,"Elevation","Eulemur_albifrons","Ambodivoara_2","Ambodivoara",2
"93",6,611,4.7145061728e-05,1153.46481178396,NA,"Elevation","Eulemur_albifrons","Androfiabe_1","Androfiabe",1
"94",7,438,3.3796296296e-05,1189.1095890411,NA,"Elevation","Eulemur_albifrons","Ambodimandresy_3","Ambodimandresy",3
"95",8,448,3.4567901235e-05,1231.57366071429,NA,"Elevation","Eulemur_albifrons","Ambodihasina_3","Ambodihasina",3
"96",9,447,3.4490740741e-05,964.015659955257,NA,"Elevation","Eulemur_albifrons","Befamatra_1","Befamatra",1
"97",10,412,3.1790123457e-05,1112.94417475728,NA,"Elevation","Eulemur_albifrons","Befamatra_3","Befamatra",3
"98",11,483,3.7268518519e-05,1189.35817805383,NA,"Elevation","Eulemur_albifrons","Androfiabe_3","Androfiabe",3
"99",12,502,3.8734567901e-05,1077.40039840637,NA,"Elevation","Eulemur_albifrons","Betaolana_3","Betaolana",3
"100",13,486,3.75e-05,1116.76543209877,NA,"Elevation","Eulemur_albifrons","Ambodivoara_5","Ambodivoara",5
"101",14,455,3.5108024691e-05,1121.22637362637,NA,"Elevation","Eulemur_albifrons","Betaolana_2","Betaolana",2
"102",15,642,4.9537037037e-05,1150.96261682243,NA,"Elevation","Eulemur_albifrons","Betaolana_1","Betaolana",1
"103",16,510,3.9351851852e-05,1104.14117647059,NA,"Elevation","Eulemur_albifrons","Ambodivoara_4","Ambodivoara",4
"104",17,373,2.8780864198e-05,1252.61126005362,NA,"Elevation","Eulemur_albifrons","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"105",18,436,3.3641975309e-05,1129.09633027523,NA,"Elevation","Eulemur_albifrons","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"106",19,484,3.7345679012e-05,1076.62396694215,NA,"Elevation","Eulemur_albifrons","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"107",20,450,3.4722222222e-05,1098.49111111111,NA,"Elevation","Eulemur_albifrons","Befamatra_2","Befamatra",2
"108",21,575,4.4367283951e-05,1071.34782608696,NA,"Elevation","Eulemur_albifrons","Ambodimandresy_1","Ambodimandresy",1
"109",22,696,5.3703703704e-05,1172.77873563218,NA,"Elevation","Eulemur_albifrons","Antanambe_2","Antanambe",2
"110",23,479,3.6959876543e-05,1076.04592901879,NA,"Elevation","Eulemur_albifrons","Antanambe_3","Antanambe",3
"111",24,484,3.7345679012e-05,1066.4979338843,NA,"Elevation","Eulemur_albifrons","Androfiabe_2","Androfiabe",2
"112",25,601,4.637345679e-05,1145.88019966722,NA,"Elevation","Eulemur_albifrons","Ambodihasina_2","Ambodihasina",2
"113",26,392,3.024691358e-05,1391.03571428571,NA,"Elevation","Eulemur_albifrons","Antanambe_1","Antanambe",1
"114",27,619,4.7762345679e-05,1075.71890145396,NA,"Elevation","Eulemur_albifrons","Ambavala_1","Ambavala",1
"115",28,522,4.0277777778e-05,1129.7337164751,NA,"Elevation","Eulemur_albifrons","Ambavala_2","Ambavala",2
"116",29,732,5.6481481481e-05,1135.5218579235,NA,"Elevation","Eulemur_albifrons","Ambavala_3","Ambavala",3
"117",1,721,5.5632716049e-05,1147.16920943135,NA,"Elevation","Eulemur_rubriventer","Ambodivoara_1","Ambodivoara",1
"118",2,612,4.7222222222e-05,1189.01960784314,NA,"Elevation","Eulemur_rubriventer","Ambodihasina_1","Ambodihasina",1
"119",3,627,4.837962963e-05,1087.30781499203,NA,"Elevation","Eulemur_rubriventer","Ambodimandresy_2","Ambodimandresy",2
"120",4,669,5.162037037e-05,1178.60538116592,NA,"Elevation","Eulemur_rubriventer","Ambodivoara_3","Ambodivoara",3
"121",5,482,3.7191358025e-05,1086.90456431535,NA,"Elevation","Eulemur_rubriventer","Ambodivoara_2","Ambodivoara",2
"122",6,788,6.0802469136e-05,1150.19796954315,NA,"Elevation","Eulemur_rubriventer","Androfiabe_1","Androfiabe",1
"123",7,568,4.3827160494e-05,1187.5,NA,"Elevation","Eulemur_rubriventer","Ambodimandresy_3","Ambodimandresy",3
"124",8,589,4.5447530864e-05,1229.94057724958,NA,"Elevation","Eulemur_rubriventer","Ambodihasina_3","Ambodihasina",3
"125",9,587,4.5293209877e-05,958.701873935264,NA,"Elevation","Eulemur_rubriventer","Befamatra_1","Befamatra",1
"126",10,551,4.2515432099e-05,1115.58439201452,NA,"Elevation","Eulemur_rubriventer","Befamatra_3","Befamatra",3
"127",11,627,4.837962963e-05,1190.05103668261,NA,"Elevation","Eulemur_rubriventer","Androfiabe_3","Androfiabe",3
"128",12,650,5.0154320988e-05,1074.20307692308,NA,"Elevation","Eulemur_rubriventer","Betaolana_3","Betaolana",3
"129",13,629,4.8533950617e-05,1115.43243243243,NA,"Elevation","Eulemur_rubriventer","Ambodivoara_5","Ambodivoara",5
"130",14,598,4.6141975309e-05,1120.79598662207,NA,"Elevation","Eulemur_rubriventer","Betaolana_2","Betaolana",2
"131",15,828,6.3888888889e-05,1146.8309178744,NA,"Elevation","Eulemur_rubriventer","Betaolana_1","Betaolana",1
"132",16,667,5.1466049383e-05,1102.93553223388,NA,"Elevation","Eulemur_rubriventer","Ambodivoara_4","Ambodivoara",4
"133",17,494,3.8117283951e-05,1249.96558704453,NA,"Elevation","Eulemur_rubriventer","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"134",18,575,4.4367283951e-05,1121.91130434783,NA,"Elevation","Eulemur_rubriventer","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"135",19,630,4.8611111111e-05,1078.40952380952,NA,"Elevation","Eulemur_rubriventer","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"136",20,586,4.5216049383e-05,1100.27133105802,NA,"Elevation","Eulemur_rubriventer","Befamatra_2","Befamatra",2
"137",21,746,5.7561728395e-05,1079.31903485255,NA,"Elevation","Eulemur_rubriventer","Ambodimandresy_1","Ambodimandresy",1
"138",22,918,7.0833333333e-05,1173.05119825708,NA,"Elevation","Eulemur_rubriventer","Antanambe_2","Antanambe",2
"139",23,625,4.8225308642e-05,1076.2784,NA,"Elevation","Eulemur_rubriventer","Antanambe_3","Antanambe",3
"140",24,630,4.8611111111e-05,1062.23650793651,NA,"Elevation","Eulemur_rubriventer","Androfiabe_2","Androfiabe",2
"141",25,799,6.1651234568e-05,1147.79474342929,NA,"Elevation","Eulemur_rubriventer","Ambodihasina_2","Ambodihasina",2
"142",26,525,4.0509259259e-05,1391.75619047619,NA,"Elevation","Eulemur_rubriventer","Antanambe_1","Antanambe",1
"143",27,801,6.1805555556e-05,1075.49687890137,NA,"Elevation","Eulemur_rubriventer","Ambavala_1","Ambavala",1
"144",28,670,5.1697530864e-05,1129.13134328358,NA,"Elevation","Eulemur_rubriventer","Ambavala_2","Ambavala",2
"145",29,968,7.4691358025e-05,1147.19731404959,NA,"Elevation","Eulemur_rubriventer","Ambavala_3","Ambavala",3
"146",1,478,3.6882716049e-05,1153.48535564854,NA,"Elevation","Hapalemur_occidentalis","Ambodivoara_1","Ambodivoara",1
"147",2,403,3.1095679012e-05,1189.65508684864,NA,"Elevation","Hapalemur_occidentalis","Ambodihasina_1","Ambodihasina",1
"148",3,408,3.1481481481e-05,1082.3137254902,NA,"Elevation","Hapalemur_occidentalis","Ambodimandresy_2","Ambodimandresy",2
"149",4,450,3.4722222222e-05,1175.84666666667,NA,"Elevation","Hapalemur_occidentalis","Ambodivoara_3","Ambodivoara",3
"150",5,307,2.3688271605e-05,1086.27687296417,NA,"Elevation","Hapalemur_occidentalis","Ambodivoara_2","Ambodivoara",2
"151",6,526,4.0586419753e-05,1155.21292775665,NA,"Elevation","Hapalemur_occidentalis","Androfiabe_1","Androfiabe",1
"152",7,368,2.8395061728e-05,1190.64402173913,NA,"Elevation","Hapalemur_occidentalis","Ambodimandresy_3","Ambodimandresy",3
"153",8,384,2.962962963e-05,1232.8359375,NA,"Elevation","Hapalemur_occidentalis","Ambodihasina_3","Ambodihasina",3
"154",9,386,2.9783950617e-05,965.989637305699,NA,"Elevation","Hapalemur_occidentalis","Befamatra_1","Befamatra",1
"155",10,350,2.700617284e-05,1111.63714285714,NA,"Elevation","Hapalemur_occidentalis","Befamatra_3","Befamatra",3
"156",11,406,3.1327160494e-05,1189.05172413793,NA,"Elevation","Hapalemur_occidentalis","Androfiabe_3","Androfiabe",3
"157",12,427,3.2947530864e-05,1079.55971896955,NA,"Elevation","Hapalemur_occidentalis","Betaolana_3","Betaolana",3
"158",13,421,3.2484567901e-05,1118.15439429929,NA,"Elevation","Hapalemur_occidentalis","Ambodivoara_5","Ambodivoara",5
"159",14,393,3.0324074074e-05,1121.11450381679,NA,"Elevation","Hapalemur_occidentalis","Betaolana_2","Betaolana",2
"160",15,556,4.2901234568e-05,1152.76079136691,NA,"Elevation","Hapalemur_occidentalis","Betaolana_1","Betaolana",1
"161",16,438,3.3796296296e-05,1105.52054794521,NA,"Elevation","Hapalemur_occidentalis","Ambodivoara_4","Ambodivoara",4
"162",17,313,2.4151234568e-05,1254.22044728435,NA,"Elevation","Hapalemur_occidentalis","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"163",18,378,2.9166666667e-05,1133.19312169312,NA,"Elevation","Hapalemur_occidentalis","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"164",19,422,3.2561728395e-05,1074.74881516588,NA,"Elevation","Hapalemur_occidentalis","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"165",20,385,2.9706790123e-05,1097.5948051948,NA,"Elevation","Hapalemur_occidentalis","Befamatra_2","Befamatra",2
"166",21,495,3.8194444444e-05,1068.64646464646,NA,"Elevation","Hapalemur_occidentalis","Ambodimandresy_1","Ambodimandresy",1
"167",22,591,4.5601851852e-05,1172.4923857868,NA,"Elevation","Hapalemur_occidentalis","Antanambe_2","Antanambe",2
"168",23,409,3.1558641975e-05,1076.60391198044,NA,"Elevation","Hapalemur_occidentalis","Antanambe_3","Antanambe",3
"169",24,412,3.1790123457e-05,1068.72087378641,NA,"Elevation","Hapalemur_occidentalis","Androfiabe_2","Androfiabe",2
"170",25,515,3.9737654321e-05,1145.00194174757,NA,"Elevation","Hapalemur_occidentalis","Ambodihasina_2","Ambodihasina",2
"171",26,339,2.6157407407e-05,1390.46607669617,NA,"Elevation","Hapalemur_occidentalis","Antanambe_1","Antanambe",1
"172",27,536,4.1358024691e-05,1074.61940298507,NA,"Elevation","Hapalemur_occidentalis","Ambavala_1","Ambavala",1
"173",28,444,3.4259259259e-05,1130.62162162162,NA,"Elevation","Hapalemur_occidentalis","Ambavala_2","Ambavala",2
"174",29,624,4.8148148148e-05,1131.25961538462,NA,"Elevation","Hapalemur_occidentalis","Ambavala_3","Ambavala",3
"175",1,74,5.709876543e-06,1154.47297297297,NA,"Elevation","Lepilemur_saeli","Ambodivoara_1","Ambodivoara",1
"176",2,60,4.62962963e-06,1196.21666666667,NA,"Elevation","Lepilemur_saeli","Ambodihasina_1","Ambodihasina",1
"177",3,40,3.086419753e-06,1093.45,NA,"Elevation","Lepilemur_saeli","Ambodimandresy_2","Ambodimandresy",2
"178",4,90,6.944444444e-06,1191.33333333333,NA,"Elevation","Lepilemur_saeli","Ambodivoara_3","Ambodivoara",3
"179",5,45,3.472222222e-06,1085.02222222222,NA,"Elevation","Lepilemur_saeli","Ambodivoara_2","Ambodivoara",2
"180",6,81,6.25e-06,1160.49382716049,NA,"Elevation","Lepilemur_saeli","Androfiabe_1","Androfiabe",1
"181",7,64,4.938271605e-06,1187.234375,NA,"Elevation","Lepilemur_saeli","Ambodimandresy_3","Ambodimandresy",3
"182",8,56,4.320987654e-06,1228.26785714286,NA,"Elevation","Lepilemur_saeli","Ambodihasina_3","Ambodihasina",3
"183",9,59,4.552469136e-06,979.42372881356,NA,"Elevation","Lepilemur_saeli","Befamatra_1","Befamatra",1
"184",10,59,4.552469136e-06,1114.93220338983,NA,"Elevation","Lepilemur_saeli","Befamatra_3","Befamatra",3
"185",11,52,4.012345679e-06,1180.84615384615,NA,"Elevation","Lepilemur_saeli","Androfiabe_3","Androfiabe",3
"186",12,60,4.62962963e-06,1086.96666666667,NA,"Elevation","Lepilemur_saeli","Betaolana_3","Betaolana",3
"187",13,94,7.25308642e-06,1126.96808510638,NA,"Elevation","Lepilemur_saeli","Ambodivoara_5","Ambodivoara",5
"188",14,73,5.632716049e-06,1122.21917808219,NA,"Elevation","Lepilemur_saeli","Betaolana_2","Betaolana",2
"189",15,74,5.709876543e-06,1177.59459459459,NA,"Elevation","Lepilemur_saeli","Betaolana_1","Betaolana",1
"190",16,57,4.398148148e-06,1115.78947368421,NA,"Elevation","Lepilemur_saeli","Ambodivoara_4","Ambodivoara",4
"191",17,52,4.012345679e-06,1266.55769230769,NA,"Elevation","Lepilemur_saeli","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"192",18,63,4.861111111e-06,1171.47619047619,NA,"Elevation","Lepilemur_saeli","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"193",19,71,5.478395062e-06,1072.40845070423,NA,"Elevation","Lepilemur_saeli","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"194",20,56,4.320987654e-06,1096.92857142857,NA,"Elevation","Lepilemur_saeli","Befamatra_2","Befamatra",2
"195",21,94,7.25308642e-06,1059.95744680851,NA,"Elevation","Lepilemur_saeli","Ambodimandresy_1","Ambodimandresy",1
"196",22,110,8.487654321e-06,1171.34545454545,NA,"Elevation","Lepilemur_saeli","Antanambe_2","Antanambe",2
"197",23,82,6.327160494e-06,1078.28048780488,NA,"Elevation","Lepilemur_saeli","Antanambe_3","Antanambe",3
"198",24,36,2.777777778e-06,1076,NA,"Elevation","Lepilemur_saeli","Androfiabe_2","Androfiabe",2
"199",25,47,3.62654321e-06,1165.78723404255,NA,"Elevation","Lepilemur_saeli","Ambodihasina_2","Ambodihasina",2
"200",26,53,4.089506173e-06,1386.28301886792,NA,"Elevation","Lepilemur_saeli","Antanambe_1","Antanambe",1
"201",27,95,7.330246914e-06,1074.55789473684,NA,"Elevation","Lepilemur_saeli","Ambavala_1","Ambavala",1
"202",28,92,7.098765432e-06,1145.6847826087,NA,"Elevation","Lepilemur_saeli","Ambavala_2","Ambavala",2
"203",29,66,5.092592593e-06,1094.95454545455,NA,"Elevation","Lepilemur_saeli","Ambavala_3","Ambavala",3
"204",1,172,1.3271604938e-05,1158.36046511628,NA,"Elevation","Microcebus_lehilahytsara","Ambodivoara_1","Ambodivoara",1
"205",2,136,1.049382716e-05,1195.34558823529,NA,"Elevation","Microcebus_lehilahytsara","Ambodihasina_1","Ambodihasina",1
"206",3,121,9.336419753e-06,1078.5041322314,NA,"Elevation","Microcebus_lehilahytsara","Ambodimandresy_2","Ambodimandresy",2
"207",4,178,1.3734567901e-05,1181.94943820225,NA,"Elevation","Microcebus_lehilahytsara","Ambodivoara_3","Ambodivoara",3
"208",5,105,8.101851852e-06,1083.55238095238,NA,"Elevation","Microcebus_lehilahytsara","Ambodivoara_2","Ambodivoara",2
"209",6,189,1.4583333333e-05,1162.2380952381,NA,"Elevation","Microcebus_lehilahytsara","Androfiabe_1","Androfiabe",1
"210",7,131,1.0108024691e-05,1188.61832061069,NA,"Elevation","Microcebus_lehilahytsara","Ambodimandresy_3","Ambodimandresy",3
"211",8,120,9.259259259e-06,1232.28333333333,NA,"Elevation","Microcebus_lehilahytsara","Ambodihasina_3","Ambodihasina",3
"212",9,135,1.0416666667e-05,976.711111111111,NA,"Elevation","Microcebus_lehilahytsara","Befamatra_1","Befamatra",1
"213",10,121,9.336419753e-06,1113.17355371901,NA,"Elevation","Microcebus_lehilahytsara","Befamatra_3","Befamatra",3
"214",11,132,1.0185185185e-05,1188.83333333333,NA,"Elevation","Microcebus_lehilahytsara","Androfiabe_3","Androfiabe",3
"215",12,151,1.1651234568e-05,1088.40397350993,NA,"Elevation","Microcebus_lehilahytsara","Betaolana_3","Betaolana",3
"216",13,166,1.2808641975e-05,1125.8313253012,NA,"Elevation","Microcebus_lehilahytsara","Ambodivoara_5","Ambodivoara",5
"217",14,141,1.087962963e-05,1122.62411347518,NA,"Elevation","Microcebus_lehilahytsara","Betaolana_2","Betaolana",2
"218",15,182,1.4043209877e-05,1168.3021978022,NA,"Elevation","Microcebus_lehilahytsara","Betaolana_1","Betaolana",1
"219",16,147,1.1342592593e-05,1113.97278911565,NA,"Elevation","Microcebus_lehilahytsara","Ambodivoara_4","Ambodivoara",4
"220",17,110,8.487654321e-06,1266.75454545454,NA,"Elevation","Microcebus_lehilahytsara","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"221",18,134,1.0339506173e-05,1158.94029850746,NA,"Elevation","Microcebus_lehilahytsara","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"222",19,152,1.1728395062e-05,1070.80263157895,NA,"Elevation","Microcebus_lehilahytsara","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"223",20,134,1.0339506173e-05,1097.26865671642,NA,"Elevation","Microcebus_lehilahytsara","Befamatra_2","Befamatra",2
"224",21,190,1.4660493827e-05,1060.68421052631,NA,"Elevation","Microcebus_lehilahytsara","Ambodimandresy_1","Ambodimandresy",1
"225",22,214,1.6512345679e-05,1171.96261682243,NA,"Elevation","Microcebus_lehilahytsara","Antanambe_2","Antanambe",2
"226",23,152,1.1728395062e-05,1076.375,NA,"Elevation","Microcebus_lehilahytsara","Antanambe_3","Antanambe",3
"227",24,109,8.410493827e-06,1074.22935779817,NA,"Elevation","Microcebus_lehilahytsara","Androfiabe_2","Androfiabe",2
"228",25,132,1.0185185185e-05,1151.43181818182,NA,"Elevation","Microcebus_lehilahytsara","Ambodihasina_2","Ambodihasina",2
"229",26,114,8.796296296e-06,1390.83333333333,NA,"Elevation","Microcebus_lehilahytsara","Antanambe_1","Antanambe",1
"230",27,191,1.4737654321e-05,1076.03141361257,NA,"Elevation","Microcebus_lehilahytsara","Ambavala_1","Ambavala",1
"231",28,168,1.2962962963e-05,1141.23214285714,NA,"Elevation","Microcebus_lehilahytsara","Ambavala_2","Ambavala",2
"232",29,181,1.3966049383e-05,1106.61878453039,NA,"Elevation","Microcebus_lehilahytsara","Ambavala_3","Ambavala",3
"233",1,1193,9.2052469136e-05,1135.32858340319,NA,"Elevation","Propithecus_candidus","Ambodivoara_1","Ambodivoara",1
"234",2,1043,8.0478395062e-05,1186.34803451582,NA,"Elevation","Propithecus_candidus","Ambodihasina_1","Ambodihasina",1
"235",3,1066,8.225308642e-05,1097.65666041276,NA,"Elevation","Propithecus_candidus","Ambodimandresy_2","Ambodimandresy",2
"236",4,1111,8.5725308642e-05,1179.80828082808,NA,"Elevation","Propithecus_candidus","Ambodivoara_3","Ambodivoara",3
"237",5,839,6.4737654321e-05,1087.31704410012,NA,"Elevation","Propithecus_candidus","Ambodivoara_2","Ambodivoara",2
"238",6,1285,9.9151234568e-05,1143.40077821012,NA,"Elevation","Propithecus_candidus","Androfiabe_1","Androfiabe",1
"239",7,970,7.4845679012e-05,1185.10721649485,NA,"Elevation","Propithecus_candidus","Ambodimandresy_3","Ambodimandresy",3
"240",8,1003,7.7391975309e-05,1227.67796610169,NA,"Elevation","Propithecus_candidus","Ambodihasina_3","Ambodihasina",3
"241",9,996,7.6851851852e-05,947.448795180723,NA,"Elevation","Propithecus_candidus","Befamatra_1","Befamatra",1
"242",10,940,7.2530864198e-05,1120.42659574468,NA,"Elevation","Propithecus_candidus","Befamatra_3","Befamatra",3
"243",11,1064,8.2098765432e-05,1191.24812030075,NA,"Elevation","Propithecus_candidus","Androfiabe_3","Androfiabe",3
"244",12,1085,8.3719135802e-05,1073.23225806452,NA,"Elevation","Propithecus_candidus","Betaolana_3","Betaolana",3
"245",13,1046,8.0709876543e-05,1118.30975143403,NA,"Elevation","Propithecus_candidus","Ambodivoara_5","Ambodivoara",5
"246",14,1007,7.7700617284e-05,1121.59483614697,NA,"Elevation","Propithecus_candidus","Betaolana_2","Betaolana",2
"247",15,1357,0.000104706790123,1137.18201915991,NA,"Elevation","Propithecus_candidus","Betaolana_1","Betaolana",1
"248",16,1108,8.549382716e-05,1102.67238267148,NA,"Elevation","Propithecus_candidus","Ambodivoara_4","Ambodivoara",4
"249",17,864,6.6666666667e-05,1245.5150462963,NA,"Elevation","Propithecus_candidus","AmbodivohitraKobahina_1","AmbodivohitraKobahina",1
"250",18,989,7.6311728395e-05,1102.3862487361,NA,"Elevation","Propithecus_candidus","AmbodivohitraKobahina_2","AmbodivohitraKobahina",2
"251",19,1062,8.1944444444e-05,1082.3879472693,NA,"Elevation","Propithecus_candidus","AmbodivohitraKobahina_3","AmbodivohitraKobahina",3
"252",20,998,7.700617284e-05,1106.23046092184,NA,"Elevation","Propithecus_candidus","Befamatra_2","Befamatra",2
"253",21,1219,9.4058641975e-05,1099.82690730107,NA,"Elevation","Propithecus_candidus","Ambodimandresy_1","Ambodimandresy",1
"254",22,1619,0.000124922839506,1175.30697961705,NA,"Elevation","Propithecus_candidus","Antanambe_2","Antanambe",2
"255",23,1038,8.0092592593e-05,1079.4344894027,NA,"Elevation","Propithecus_candidus","Antanambe_3","Antanambe",3
"256",24,1078,8.3179012346e-05,1050.93228200371,NA,"Elevation","Propithecus_candidus","Androfiabe_2","Androfiabe",2
"257",25,1322,0.00010200617284,1153.56278366112,NA,"Elevation","Propithecus_candidus","Ambodihasina_2","Ambodihasina",2
"258",26,900,6.9444444444e-05,1394.27666666667,NA,"Elevation","Propithecus_candidus","Antanambe_1","Antanambe",1
"259",27,1313,0.000101311728395,1069.9733434882,NA,"Elevation","Propithecus_candidus","Ambavala_1","Ambavala",1
"260",28,1109,8.5570987654e-05,1129.81965734896,NA,"Elevation","Propithecus_candidus","Ambavala_2","Ambavala",2
"261",29,1671,0.000128935185185,1168.04069419509,NA,"Elevation","Propithecus_candidus","Ambavala_3","Ambavala",3
"262",1,589,3.68125e-05,21.6366723259762,NA,"CanopyHeight","Allocebus_trichotis","Ambodivoara_1","Ambodivoara",1
"263",2,497,3.10625e-05,25.7183098591549,NA,"CanopyHeight","Allocebus_trichotis","Ambodihasina_1","Ambodihasina",1
"264",3,499,3.11875e-05,21.9519038076152,NA,"CanopyHeight","Allocebus_trichotis","Ambodimandresy_2","Ambodimandresy",2
"265",4,556,3.475e-05,24.3669064748202,NA,"CanopyHeight","Allocebus_trichotis","Ambodivoara_3","Ambodivoara",3
