OBJECTID_1,COUNT,AREA,MEAN
1,172.000000000000000,0.000013271604938,1158.360465116278419
2,136.000000000000000,0.000010493827160,1195.345588235294372
3,121.000000000000000,0.000009336419753,1078.504132231404810
4,178.000000000000000,0.000013734567901,1181.949438202246483
5,105.000000000000000,0.000008101851852,1083.552380952381100
6,189.000000000000000,0.000014583333333,1162.238095238094957
7,131.000000000000000,0.000010108024691,1188.618320610687078
8,120.000000000000000,0.000009259259259,1232.283333333333303
9,135.000000000000000,0.000010416666667,976.711111111110654
10,121.000000000000000,0.000009336419753,1113.173553719008396
11,132.000000000000000,0.000010185185185,1188.833333333333485
12,151.000000000000000,0.000011651234568,1088.403973509934076
13,166.000000000000000,0.000012808641975,1125.831325301204970
14,141.000000000000000,0.000010879629630,1122.624113475177865
15,182.000000000000000,0.000014043209877,1168.302197802197497
16,147.000000000000000,0.000011342592593,1113.972789115646037
17,110.000000000000000,0.000008487654321,1266.754545454544996
18,134.000000000000000,0.000010339506173,1158.940298507462785
19,152.000000000000000,0.000011728395062,1070.802631578947739
20,134.000000000000000,0.000010339506173,1097.268656716417581
21,190.000000000000000,0.000014660493827,1060.684210526314928
22,214.000000000000000,0.000016512345679,1171.962616822429482
23,152.000000000000000,0.000011728395062,1076.374999999999545
24,109.000000000000000,0.000008410493827,1074.229357798165893
25,132.000000000000000,0.000010185185185,1151.431818181818016
26,114.000000000000000,0.000008796296296,1390.833333333333030
27,191.000000000000000,0.000014737654321,1076.031413612565302
28,168.000000000000000,0.000012962962963,1141.232142857142890
29,181.000000000000000,0.000013966049383,1106.618784530386847
