OBJECTID_1,COUNT,AREA,SUM
1,170.000000000000000,153000.000000000000000,170.000000000000000
2,144.000000000000000,129600.000000000000000,144.000000000000000
3,125.000000000000000,112500.000000000000000,125.000000000000000
4,176.000000000000000,158400.000000000000000,176.000000000000000
5,108.000000000000000,97200.000000000000000,108.000000000000000
6,191.000000000000000,171900.000000000000000,191.000000000000000
7,122.000000000000000,109800.000000000000000,122.000000000000000
8,97.000000000000000,87300.000000000000000,97.000000000000000
9,136.000000000000000,122400.000000000000000,136.000000000000000
10,129.000000000000000,116100.000000000000000,129.000000000000000
11,129.000000000000000,116100.000000000000000,129.000000000000000
12,152.000000000000000,136800.000000000000000,152.000000000000000
13,158.000000000000000,142200.000000000000000,158.000000000000000
14,147.000000000000000,132300.000000000000000,147.000000000000000
15,184.000000000000000,165600.000000000000000,184.000000000000000
16,151.000000000000000,135900.000000000000000,151.000000000000000
17,107.000000000000000,96300.000000000000000,107.000000000000000
18,138.000000000000000,124200.000000000000000,138.000000000000000
19,150.000000000000000,135000.000000000000000,150.000000000000000
20,129.000000000000000,116100.000000000000000,129.000000000000000
21,192.000000000000000,172800.000000000000000,192.000000000000000
22,209.000000000000000,188100.000000000000000,209.000000000000000
23,158.000000000000000,142200.000000000000000,158.000000000000000
24,114.000000000000000,102600.000000000000000,114.000000000000000
25,117.000000000000000,105300.000000000000000,117.000000000000000
26,103.000000000000000,92700.000000000000000,103.000000000000000
27,185.000000000000000,166500.000000000000000,185.000000000000000
28,175.000000000000000,157500.000000000000000,175.000000000000000
29,184.000000000000000,165600.000000000000000,184.000000000000000
