OBJECTID_1,COUNT,AREA,SUM
1,496.000000000000000,446400.000000000000000,496.000000000000000
2,407.000000000000000,366300.000000000000000,407.000000000000000
3,411.000000000000000,369900.000000000000000,411.000000000000000
4,432.000000000000000,388800.000000000000000,432.000000000000000
5,318.000000000000000,286200.000000000000000,318.000000000000000
6,526.000000000000000,473400.000000000000000,526.000000000000000
7,348.000000000000000,313200.000000000000000,348.000000000000000
8,287.000000000000000,258300.000000000000000,287.000000000000000
9,364.000000000000000,327600.000000000000000,364.000000000000000
10,364.000000000000000,327600.000000000000000,364.000000000000000
11,422.000000000000000,379800.000000000000000,422.000000000000000
12,433.000000000000000,389700.000000000000000,433.000000000000000
13,398.000000000000000,358200.000000000000000,398.000000000000000
14,400.000000000000000,360000.000000000000000,400.000000000000000
15,547.000000000000000,492300.000000000000000,547.000000000000000
16,433.000000000000000,389700.000000000000000,433.000000000000000
17,320.000000000000000,288000.000000000000000,320.000000000000000
18,364.000000000000000,327600.000000000000000,364.000000000000000
19,405.000000000000000,364500.000000000000000,405.000000000000000
20,355.000000000000000,319500.000000000000000,355.000000000000000
21,513.000000000000000,461700.000000000000000,513.000000000000000
22,567.000000000000000,510300.000000000000000,567.000000000000000
23,412.000000000000000,370800.000000000000000,412.000000000000000
24,396.000000000000000,356400.000000000000000,396.000000000000000
25,445.000000000000000,400500.000000000000000,445.000000000000000
26,293.000000000000000,263700.000000000000000,293.000000000000000
27,527.000000000000000,474300.000000000000000,527.000000000000000
28,426.000000000000000,383400.000000000000000,426.000000000000000
29,613.000000000000000,551700.000000000000000,613.000000000000000
