OBJECTID_1,COUNT,AREA,MEAN
1,1193.000000000000000,0.000092052469136,1135.328583403185348
2,1043.000000000000000,0.000080478395062,1186.348034515820700
3,1066.000000000000000,0.000082253086420,1097.656660412758129
4,1111.000000000000000,0.000085725308642,1179.808280828082616
5,839.000000000000000,0.000064737654321,1087.317044100118665
6,1285.000000000000000,0.000099151234568,1143.400778210117096
7,970.000000000000000,0.000074845679012,1185.107216494846170
8,1003.000000000000000,0.000077391975309,1227.677966101694892
9,996.000000000000000,0.000076851851852,947.448795180722641
10,940.000000000000000,0.000072530864198,1120.426595744681208
11,1064.000000000000000,0.000082098765432,1191.248120300752362
12,1085.000000000000000,0.000083719135802,1073.232258064515918
13,1046.000000000000000,0.000080709876543,1118.309751434034524
14,1007.000000000000000,0.000077700617284,1121.594836146971147
15,1357.000000000000000,0.000104706790123,1137.182019159911761
16,1108.000000000000000,0.000085493827160,1102.672382671480364
17,864.000000000000000,0.000066666666667,1245.515046296295850
18,989.000000000000000,0.000076311728395,1102.386248736097286
19,1062.000000000000000,0.000081944444444,1082.387947269302686
20,998.000000000000000,0.000077006172840,1106.230460921844042
21,1219.000000000000000,0.000094058641975,1099.826907301066058
22,1619.000000000000000,0.000124922839506,1175.306979617046863
23,1038.000000000000000,0.000080092592593,1079.434489402696954
24,1078.000000000000000,0.000083179012346,1050.932282003711180
25,1322.000000000000000,0.000102006172840,1153.562783661119965
26,900.000000000000000,0.000069444444444,1394.276666666666870
27,1313.000000000000000,0.000101311728395,1069.973343488195042
28,1109.000000000000000,0.000085570987654,1129.819657348962892
29,1671.000000000000000,0.000128935185185,1168.040694195092783
