OBJECTID_1,COUNT,AREA,SUM
1,736.000000000000000,662400.000000000000000,736.000000000000000
2,617.000000000000000,555300.000000000000000,617.000000000000000
3,615.000000000000000,553500.000000000000000,615.000000000000000
4,636.000000000000000,572400.000000000000000,636.000000000000000
5,494.000000000000000,444600.000000000000000,494.000000000000000
6,790.000000000000000,711000.000000000000000,790.000000000000000
7,537.000000000000000,483300.000000000000000,537.000000000000000
8,412.000000000000000,370800.000000000000000,412.000000000000000
9,483.000000000000000,434700.000000000000000,483.000000000000000
10,565.000000000000000,508500.000000000000000,565.000000000000000
11,643.000000000000000,578700.000000000000000,643.000000000000000
12,657.000000000000000,591300.000000000000000,657.000000000000000
13,577.000000000000000,519300.000000000000000,577.000000000000000
14,609.000000000000000,548100.000000000000000,609.000000000000000
15,829.000000000000000,746100.000000000000000,829.000000000000000
16,633.000000000000000,569700.000000000000000,633.000000000000000
17,467.000000000000000,420300.000000000000000,467.000000000000000
18,538.000000000000000,484200.000000000000000,538.000000000000000
19,592.000000000000000,532800.000000000000000,592.000000000000000
20,545.000000000000000,490500.000000000000000,545.000000000000000
21,762.000000000000000,685800.000000000000000,762.000000000000000
22,878.000000000000000,790200.000000000000000,878.000000000000000
23,616.000000000000000,554400.000000000000000,616.000000000000000
24,579.000000000000000,521100.000000000000000,579.000000000000000
25,695.000000000000000,625500.000000000000000,695.000000000000000
26,437.000000000000000,393300.000000000000000,437.000000000000000
27,755.000000000000000,679500.000000000000000,755.000000000000000
28,619.000000000000000,557100.000000000000000,619.000000000000000
29,952.000000000000000,856800.000000000000000,952.000000000000000
