OBJECTID_1,COUNT,AREA,SUM
1,81.000000000000000,72900.000000000000000,81.000000000000000
2,65.000000000000000,58500.000000000000000,65.000000000000000
3,46.000000000000000,41400.000000000000000,46.000000000000000
4,94.000000000000000,84600.000000000000000,94.000000000000000
5,48.000000000000000,43200.000000000000000,48.000000000000000
6,79.000000000000000,71100.000000000000000,79.000000000000000
7,59.000000000000000,53100.000000000000000,59.000000000000000
8,46.000000000000000,41400.000000000000000,46.000000000000000
9,63.000000000000000,56700.000000000000000,63.000000000000000
10,58.000000000000000,52200.000000000000000,58.000000000000000
11,53.000000000000000,47700.000000000000000,53.000000000000000
12,64.000000000000000,57600.000000000000000,64.000000000000000
13,92.000000000000000,82800.000000000000000,92.000000000000000
14,67.000000000000000,60300.000000000000000,67.000000000000000
15,72.000000000000000,64800.000000000000000,72.000000000000000
16,60.000000000000000,54000.000000000000000,60.000000000000000
17,53.000000000000000,47700.000000000000000,53.000000000000000
18,68.000000000000000,61200.000000000000000,68.000000000000000
19,69.000000000000000,62100.000000000000000,69.000000000000000
20,63.000000000000000,56700.000000000000000,63.000000000000000
21,97.000000000000000,87300.000000000000000,97.000000000000000
22,109.000000000000000,98100.000000000000000,109.000000000000000
23,81.000000000000000,72900.000000000000000,81.000000000000000
24,39.000000000000000,35100.000000000000000,39.000000000000000
25,41.000000000000000,36900.000000000000000,41.000000000000000
26,49.000000000000000,44100.000000000000000,49.000000000000000
27,93.000000000000000,83700.000000000000000,93.000000000000000
28,94.000000000000000,84600.000000000000000,94.000000000000000
29,72.000000000000000,64800.000000000000000,72.000000000000000
