OBJECTID_1,COUNT,AREA,MEAN
1,560.000000000000000,0.000043209876543,1151.873214285714312
2,473.000000000000000,0.000036496913580,1189.234672304439528
3,478.000000000000000,0.000036882716049,1083.462343096233326
4,517.000000000000000,0.000039891975309,1176.382978723403994
5,366.000000000000000,0.000028240740741,1086.418032786885078
6,611.000000000000000,0.000047145061728,1153.464811783961068
7,438.000000000000000,0.000033796296296,1189.109589041096342
8,448.000000000000000,0.000034567901235,1231.573660714286007
9,447.000000000000000,0.000034490740741,964.015659955257320
10,412.000000000000000,0.000031790123457,1112.944174757281644
11,483.000000000000000,0.000037268518519,1189.358178053830443
12,502.000000000000000,0.000038734567901,1077.400398406374507
13,486.000000000000000,0.000037500000000,1116.765432098765132
14,455.000000000000000,0.000035108024691,1121.226373626373515
15,642.000000000000000,0.000049537037037,1150.962616822430164
16,510.000000000000000,0.000039351851852,1104.141176470589244
17,373.000000000000000,0.000028780864198,1252.611260053618480
18,436.000000000000000,0.000033641975309,1129.096330275229320
19,484.000000000000000,0.000037345679012,1076.623966942147490
20,450.000000000000000,0.000034722222222,1098.491111111110968
21,575.000000000000000,0.000044367283951,1071.347826086956047
22,696.000000000000000,0.000053703703704,1172.778735632183270
23,479.000000000000000,0.000036959876543,1076.045929018789366
24,484.000000000000000,0.000037345679012,1066.497933884298391
25,601.000000000000000,0.000046373456790,1145.880199667221177
26,392.000000000000000,0.000030246913580,1391.035714285714221
27,619.000000000000000,0.000047762345679,1075.718901453958097
28,522.000000000000000,0.000040277777778,1129.733716475095889
29,732.000000000000000,0.000056481481481,1135.521857923497009
