OBJECTID_1,COUNT,AREA,MEAN
1,74.000000000000000,0.000005709876543,1154.472972972972684
2,60.000000000000000,0.000004629629630,1196.216666666666697
3,40.000000000000000,0.000003086419753,1093.450000000000045
4,90.000000000000000,0.000006944444444,1191.333333333332803
5,45.000000000000000,0.000003472222222,1085.022222222222126
6,81.000000000000000,0.000006250000000,1160.493827160493538
7,64.000000000000000,0.000004938271605,1187.234375000000455
8,56.000000000000000,0.000004320987654,1228.267857142856883
9,59.000000000000000,0.000004552469136,979.423728813559364
10,59.000000000000000,0.000004552469136,1114.932203389830647
11,52.000000000000000,0.000004012345679,1180.846153846153356
12,60.000000000000000,0.000004629629630,1086.966666666666697
13,94.000000000000000,0.000007253086420,1126.968085106382887
14,73.000000000000000,0.000005632716049,1122.219178082192002
15,74.000000000000000,0.000005709876543,1177.594594594594582
16,57.000000000000000,0.000004398148148,1115.789473684210634
17,52.000000000000000,0.000004012345679,1266.557692307692150
18,63.000000000000000,0.000004861111111,1171.476190476190368
19,71.000000000000000,0.000005478395062,1072.408450704225743
20,56.000000000000000,0.000004320987654,1096.928571428571786
21,94.000000000000000,0.000007253086420,1059.957446808510895
22,110.000000000000000,0.000008487654321,1171.345454545454686
23,82.000000000000000,0.000006327160494,1078.280487804878248
24,36.000000000000000,0.000002777777778,1076.000000000000227
25,47.000000000000000,0.000003626543210,1165.787234042553109
26,53.000000000000000,0.000004089506173,1386.283018867924511
27,95.000000000000000,0.000007330246914,1074.557894736841945
28,92.000000000000000,0.000007098765432,1145.684782608695741
29,66.000000000000000,0.000005092592593,1094.954545454545496
