OBJECTID_1,COUNT,AREA,MEAN
1,74.000000000000000,0.000005709876543,24.712561169186149
2,60.000000000000000,0.000004629629630,23.908555857340495
3,40.000000000000000,0.000003086419753,33.635153532028198
4,90.000000000000000,0.000006944444444,34.834144867791075
5,45.000000000000000,0.000003472222222,22.058077165815568
6,81.000000000000000,0.000006250000000,21.384326805303118
7,64.000000000000000,0.000004938271605,33.760067611932755
8,56.000000000000000,0.000004320987654,30.864995777606964
9,59.000000000000000,0.000004552469136,28.709371647592320
10,59.000000000000000,0.000004552469136,27.381940857838774
11,52.000000000000000,0.000004012345679,20.671372743753292
12,60.000000000000000,0.000004629629630,38.694216283162440
13,94.000000000000000,0.000007253086420,39.604518697616896
14,73.000000000000000,0.000005632716049,24.428110188000836
15,74.000000000000000,0.000005709876543,18.408880775039261
16,57.000000000000000,0.000004398148148,26.575513986119059
17,52.000000000000000,0.000004012345679,35.242602183268630
18,63.000000000000000,0.000004861111111,34.165085686577683
19,71.000000000000000,0.000005478395062,21.314812122935987
20,56.000000000000000,0.000004320987654,24.460745726312901
21,94.000000000000000,0.000007253086420,27.714357964535978
22,110.000000000000000,0.000008487654321,32.025926316868173
23,82.000000000000000,0.000006327160494,19.202940161635233
24,36.000000000000000,0.000002777777778,24.773000054889255
25,47.000000000000000,0.000003626543210,36.747060572847403
26,53.000000000000000,0.000004089506173,29.280054344321194
27,95.000000000000000,0.000007330246914,24.849479509654802
28,92.000000000000000,0.000007098765432,34.715931612512342
29,66.000000000000000,0.000005092592593,32.792850718353733
