OBJECTID_1,COUNT,AREA,SUM
1,207.000000000000000,186300.000000000000000,207.000000000000000
2,169.000000000000000,152100.000000000000000,169.000000000000000
3,157.000000000000000,141300.000000000000000,157.000000000000000
4,201.000000000000000,180900.000000000000000,201.000000000000000
5,124.000000000000000,111600.000000000000000,124.000000000000000
6,222.000000000000000,199800.000000000000000,222.000000000000000
7,141.000000000000000,126900.000000000000000,141.000000000000000
8,119.000000000000000,107100.000000000000000,119.000000000000000
9,165.000000000000000,148500.000000000000000,165.000000000000000
10,149.000000000000000,134100.000000000000000,149.000000000000000
11,159.000000000000000,143100.000000000000000,159.000000000000000
12,179.000000000000000,161100.000000000000000,179.000000000000000
13,184.000000000000000,165600.000000000000000,184.000000000000000
14,170.000000000000000,153000.000000000000000,170.000000000000000
15,219.000000000000000,197100.000000000000000,219.000000000000000
16,178.000000000000000,160200.000000000000000,178.000000000000000
17,135.000000000000000,121500.000000000000000,135.000000000000000
18,156.000000000000000,140400.000000000000000,156.000000000000000
19,181.000000000000000,162900.000000000000000,181.000000000000000
20,151.000000000000000,135900.000000000000000,151.000000000000000
21,222.000000000000000,199800.000000000000000,222.000000000000000
22,247.000000000000000,222300.000000000000000,247.000000000000000
23,186.000000000000000,167400.000000000000000,186.000000000000000
24,144.000000000000000,129600.000000000000000,144.000000000000000
25,153.000000000000000,137700.000000000000000,153.000000000000000
26,123.000000000000000,110700.000000000000000,123.000000000000000
27,227.000000000000000,204300.000000000000000,227.000000000000000
28,199.000000000000000,179100.000000000000000,199.000000000000000
29,224.000000000000000,201600.000000000000000,224.000000000000000
