OBJECTID_1,COUNT,AREA,MEAN
1,721.000000000000000,0.000055632716049,1147.169209431345053
2,612.000000000000000,0.000047222222222,1189.019607843137010
3,627.000000000000000,0.000048379629630,1087.307814992025442
4,669.000000000000000,0.000051620370370,1178.605381165919198
5,482.000000000000000,0.000037191358025,1086.904564315352900
6,788.000000000000000,0.000060802469136,1150.197969543146655
7,568.000000000000000,0.000043827160494,1187.499999999999773
8,589.000000000000000,0.000045447530864,1229.940577249576108
9,587.000000000000000,0.000045293209877,958.701873935264075
10,551.000000000000000,0.000042515432099,1115.584392014519153
11,627.000000000000000,0.000048379629630,1190.051036682614722
12,650.000000000000000,0.000050154320988,1074.203076923076424
13,629.000000000000000,0.000048533950617,1115.432432432432734
14,598.000000000000000,0.000046141975309,1120.795986622073769
15,828.000000000000000,0.000063888888889,1146.830917874395936
16,667.000000000000000,0.000051466049383,1102.935532233883805
17,494.000000000000000,0.000038117283951,1249.965587044533549
18,575.000000000000000,0.000044367283951,1121.911304347826217
19,630.000000000000000,0.000048611111111,1078.409523809523535
20,586.000000000000000,0.000045216049383,1100.271331058019541
21,746.000000000000000,0.000057561728395,1079.319034852546110
22,918.000000000000000,0.000070833333333,1173.051198257080841
23,625.000000000000000,0.000048225308642,1076.278399999999920
24,630.000000000000000,0.000048611111111,1062.236507936508588
25,799.000000000000000,0.000061651234568,1147.794743429286427
26,525.000000000000000,0.000040509259259,1391.756190476190113
27,801.000000000000000,0.000061805555556,1075.496878901373293
28,670.000000000000000,0.000051697530864,1129.131343283582055
29,968.000000000000000,0.000074691358025,1147.197314049586794
