OBJECTID_1,COUNT,AREA,MEAN
1,478.000000000000000,0.000036882716049,1153.485355648535688
2,403.000000000000000,0.000031095679012,1189.655086848635392
3,408.000000000000000,0.000031481481481,1082.313725490196020
4,450.000000000000000,0.000034722222222,1175.846666666667261
5,307.000000000000000,0.000023688271605,1086.276872964169343
6,526.000000000000000,0.000040586419753,1155.212927756653926
7,368.000000000000000,0.000028395061728,1190.644021739130267
8,384.000000000000000,0.000029629629630,1232.835937500000000
9,386.000000000000000,0.000029783950617,965.989637305699148
10,350.000000000000000,0.000027006172840,1111.637142857142862
11,406.000000000000000,0.000031327160494,1189.051724137931160
12,427.000000000000000,0.000032947530864,1079.559718969554979
13,421.000000000000000,0.000032484567901,1118.154394299287105
14,393.000000000000000,0.000030324074074,1121.114503816794013
15,556.000000000000000,0.000042901234568,1152.760791366906687
16,438.000000000000000,0.000033796296296,1105.520547945205863
17,313.000000000000000,0.000024151234568,1254.220447284345255
18,378.000000000000000,0.000029166666667,1133.193121693121384
19,422.000000000000000,0.000032561728395,1074.748815165876294
20,385.000000000000000,0.000029706790123,1097.594805194804621
21,495.000000000000000,0.000038194444444,1068.646464646463983
22,591.000000000000000,0.000045601851852,1172.492385786802288
23,409.000000000000000,0.000031558641975,1076.603911980440216
24,412.000000000000000,0.000031790123457,1068.720873786407765
25,515.000000000000000,0.000039737654321,1145.001941747572118
26,339.000000000000000,0.000026157407407,1390.466076696165601
27,536.000000000000000,0.000041358024691,1074.619402985074885
28,444.000000000000000,0.000034259259259,1130.621621621621216
29,624.000000000000000,0.000048148148148,1131.259615384615245
