OBJECTID_1,COUNT,AREA,MEAN
1,94.000000000000000,0.000005875000000,21.287234042553191
2,76.000000000000000,0.000004750000000,25.723684210526308
3,51.000000000000000,0.000003187500000,22.078431372549016
4,120.000000000000000,0.000007500000000,25.316666666666670
5,55.000000000000000,0.000003437500000,17.327272727272732
6,99.000000000000000,0.000006187500000,21.050505050505052
7,73.000000000000000,0.000004562500000,23.767123287671232
8,67.000000000000000,0.000004187500000,20.477611940298505
9,75.000000000000000,0.000004687500000,21.920000000000005
10,66.000000000000000,0.000004125000000,22.454545454545453
11,63.000000000000000,0.000003937500000,25.253968253968253
12,76.000000000000000,0.000004750000000,23.473684210526311
13,109.000000000000000,0.000006812500000,24.431192660550455
14,93.000000000000000,0.000005812500000,23.623655913978489
15,92.000000000000000,0.000005750000000,20.369565217391308
16,71.000000000000000,0.000004437500000,25.295774647887328
17,63.000000000000000,0.000003937500000,25.476190476190478
18,80.000000000000000,0.000005000000000,20.862499999999997
19,90.000000000000000,0.000005625000000,23.488888888888894
20,75.000000000000000,0.000004687500000,24.666666666666664
21,123.000000000000000,0.000007687500000,25.642276422764215
22,136.000000000000000,0.000008500000000,26.374999999999986
23,102.000000000000000,0.000006375000000,23.490196078431367
24,47.000000000000000,0.000002937500000,23.276595744680851
25,57.000000000000000,0.000003562500000,22.333333333333336
26,67.000000000000000,0.000004187500000,26.164179104477608
27,117.000000000000000,0.000007312500000,24.410256410256416
28,114.000000000000000,0.000007125000000,23.228070175438599
29,88.000000000000000,0.000005500000000,24.159090909090907
