OBJECTID_1,COUNT,AREA,SUM
1,574.000000000000000,516600.000000000000000,574.000000000000000
2,470.000000000000000,423000.000000000000000,470.000000000000000
3,480.000000000000000,432000.000000000000000,480.000000000000000
4,503.000000000000000,452700.000000000000000,503.000000000000000
5,376.000000000000000,338400.000000000000000,376.000000000000000
6,607.000000000000000,546300.000000000000000,607.000000000000000
7,413.000000000000000,371700.000000000000000,413.000000000000000
8,328.000000000000000,295200.000000000000000,328.000000000000000
9,406.000000000000000,365400.000000000000000,406.000000000000000
10,428.000000000000000,385200.000000000000000,428.000000000000000
11,495.000000000000000,445500.000000000000000,495.000000000000000
12,505.000000000000000,454500.000000000000000,505.000000000000000
13,457.000000000000000,411300.000000000000000,457.000000000000000
14,472.000000000000000,424800.000000000000000,472.000000000000000
15,638.000000000000000,574200.000000000000000,638.000000000000000
16,502.000000000000000,451800.000000000000000,502.000000000000000
17,364.000000000000000,327600.000000000000000,364.000000000000000
18,424.000000000000000,381600.000000000000000,424.000000000000000
19,472.000000000000000,424800.000000000000000,472.000000000000000
20,415.000000000000000,373500.000000000000000,415.000000000000000
21,588.000000000000000,529200.000000000000000,588.000000000000000
22,664.000000000000000,597600.000000000000000,664.000000000000000
23,480.000000000000000,432000.000000000000000,480.000000000000000
24,454.000000000000000,408600.000000000000000,454.000000000000000
25,523.000000000000000,470700.000000000000000,523.000000000000000
26,341.000000000000000,306900.000000000000000,341.000000000000000
27,605.000000000000000,544500.000000000000000,605.000000000000000
28,489.000000000000000,440100.000000000000000,489.000000000000000
29,724.000000000000000,651600.000000000000000,724.000000000000000
