OBJECTID_1,COUNT,AREA,MEAN
1,885.000000000000000,0.000055312500000,21.922033898305092
2,760.000000000000000,0.000047500000000,25.325000000000006
3,772.000000000000000,0.000048250000000,21.515544041450777
4,829.000000000000000,0.000051812500000,24.229191797346200
5,596.000000000000000,0.000037250000000,21.203020134228190
6,976.000000000000000,0.000061000000000,21.658811475409831
7,704.000000000000000,0.000044000000000,23.427556818181824
8,725.000000000000000,0.000045312500000,20.263448275862046
9,727.000000000000000,0.000045437500000,18.561210453920211
10,679.000000000000000,0.000042437500000,22.039764359351985
11,779.000000000000000,0.000048687500000,25.077021822849805
12,803.000000000000000,0.000050187500000,23.564134495641319
13,781.000000000000000,0.000048812500000,23.029449423815624
14,731.000000000000000,0.000045687500000,23.008207934336522
15,1024.000000000000000,0.000064000000000,21.623046874999996
16,820.000000000000000,0.000051250000000,22.908536585365859
17,613.000000000000000,0.000038312500000,25.164763458401286
18,710.000000000000000,0.000044375000000,22.236619718309854
19,786.000000000000000,0.000049125000000,21.745547073791350
20,724.000000000000000,0.000045250000000,23.727900552486194
21,916.000000000000000,0.000057250000000,24.415938864628821
22,1135.000000000000000,0.000070937500000,24.653744493392072
23,769.000000000000000,0.000048062500000,22.464239271781537
24,782.000000000000000,0.000048875000000,21.611253196930935
25,976.000000000000000,0.000061000000000,20.892418032786889
26,640.000000000000000,0.000040000000000,23.743750000000031
27,993.000000000000000,0.000062062500000,22.633434038267872
28,823.000000000000000,0.000051437500000,23.113001215066827
29,1194.000000000000000,0.000074625000000,24.124790619765495
