OID_,OBJECTID_1,COUNT,AREA,MEAN
1,1,532.000000000000000,0.000033250000000,23.629699248120296
2,2,631.000000000000000,0.000039437500000,23.148969889064983
3,3,749.000000000000000,0.000046812500000,20.688918558077436
