OID_,Site,Transect,Shape_Length,Shape_Area
1,Antanambe,1,0.026290933062225,0.000044002696315
2,Antanambe,2,0.029611750033466,0.000051398826665
3,Antanambe,3,0.035566206635379,0.000061244279625
