OID_,OBJECTID_1,COUNT,AREA,MEAN
1,1,368.000000000000000,0.000028395061728,30.924717892771181
2,2,438.000000000000000,0.000033796296296,25.634510796364044
3,3,515.000000000000000,0.000039737654321,33.714241879657642
