OID_,OBJECTID_1,COUNT,AREA,MEAN
1,1,151.000000000000000,0.000011651234568,1190.807947019868152
2,2,170.000000000000000,0.000013117283951,1112.770588235293872
3,3,168.000000000000000,0.000012962962963,1149.464285714286234
