OID_,Site,Transect,Shape_Length,Shape_Area
1,Antanambe,1,0.032836424197932,0.000075269704632
2,Antanambe,2,0.036061322381843,0.000086025044909
3,Antanambe,3,0.041655821577065,0.000102074837125
