OID_,Site,Transect,Shape_Length,Shape_Area
1,Antanambe,1,0.017888187079941,0.000009946705465
2,Antanambe,2,0.022972176768984,0.000011161615855
3,Antanambe,3,0.024464828777428,0.000010159476347
