OID_,Site,Transect,Shape_Length,Shape_Area
1,Antanambe,1,0.022436031555942,0.000028580154066
2,Antanambe,2,0.025985877699374,0.000033871220539
3,Antanambe,3,0.032868942248583,0.000039664875615
