OID_,OBJECTID_1,COUNT,AREA,SUM
1,1,413.000000000000000,371700.000000000000000,413.000000000000000
2,2,502.000000000000000,451800.000000000000000,502.000000000000000
3,3,523.000000000000000,470700.000000000000000,523.000000000000000
