OID_,Site,Transect,Shape_Length,Shape_Area
1,Antanambe,1,0.015035068300531,0.000004719609664
2,Antanambe,2,0.019404483553487,0.000004345772547
3,Antanambe,3,0.016481163397553,0.000003538676569
