OID_,Site,Transect,Shape_Length,Shape_Area
1,Antanambe,1,0.019214515122410,0.000017007508068
2,Antanambe,2,0.023807771772411,0.000020186119592
3,Antanambe,3,0.032625413541588,0.000021254750819
