OID_,OBJECTID_1,COUNT,AREA,SUM
1,1,917.000000000000000,825300.000000000000000,917.000000000000000
2,2,986.000000000000000,887400.000000000000000,986.000000000000000
3,3,1158.000000000000000,1042200.000000000000000,1158.000000000000000
