OID_,Site,Transect,Shape_Length,Shape_Area
1,Antanambe,1,0.016238120927018,0.000006541753622
2,Antanambe,2,0.022164810516735,0.000006755322923
3,Antanambe,3,0.020840506805248,0.000005706492186
