OID_,OBJECTID_1,COUNT,AREA,SUM
1,1,348.000000000000000,313200.000000000000000,348.000000000000000
2,2,433.000000000000000,389700.000000000000000,433.000000000000000
3,3,445.000000000000000,400500.000000000000000,445.000000000000000
