OID_,Site,Transect,Shape_Length,Shape_Area
1,Antanambe,1,0.017902331951237,0.000011813821175
2,Antanambe,2,0.022892345847373,0.000013536477374
3,Antanambe,3,0.026845475338598,0.000012836463571
